App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
alibaba/fastjson,JSONPath_reverse_test_433398d5fdff70e4f719b28d21a71ec13b625c71.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\JSONPath_reverse_test_433398d5fdff70e4f719b28d21a71ec13b625c71.java,,,,3,3,0,0,0,0,3,0,0,0,0,3,0,0,,,0,0,0,0,3,0
alibaba/fastjson,FastJsonpHttpMessageConverter4Case1Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\FastJsonpHttpMessageConverter4Case1Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,,,,12,0,0,0,0,0,10,0,0,0,0,0,0,0,,,0,10,0,0,11,0
alibaba/fastjson,FastJsonpHttpMessageConverter4Case2Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\FastJsonpHttpMessageConverter4Case2Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,,,,12,0,0,0,0,0,10,0,0,0,0,0,0,0,,,0,10,0,0,11,0
alibaba/fastjson,FastJsonpHttpMessageConverter4Case3Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\FastJsonpHttpMessageConverter4Case3Test_e59c1be9219e1e8ed8ebd48603b9f5567654a468.java,,,,13,0,0,0,0,0,10,0,0,0,0,0,0,0,,,0,10,0,0,12,0
alibaba/fastjson,WriteDuplicateType_2d609415d64353dd67c0dee8ab103ec3cf79473f.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\WriteDuplicateType_2d609415d64353dd67c0dee8ab103ec3cf79473f.java,,,,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,3,0
alibaba/innodb-java-reader,SimpleSkTableReaderTest_24a95d8005d480d460c3004fad89cfa295b9cbb4.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SimpleSkTableReaderTest_24a95d8005d480d460c3004fad89cfa295b9cbb4.java,,,,80,1,2,0,0,0,0,0,0,1,0,0,0,0,,,1,21,0,0,73,0
alibaba/jetcache,CreateCacheTest_953f622a84427701884c8190b74e429a73f41962.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\CreateCacheTest_953f622a84427701884c8190b74e429a73f41962.java,,,,1,1,0,0,0,0,2,0,0,0,0,0,0,0,,,0,1,1,0,2,0
alibaba/jetcache,ConfigProvider_CacheMessagePublisher_Test_995e70a1028140b99f813a19e29fcecfe8054faf.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\ConfigProvider_CacheMessagePublisher_Test_995e70a1028140b99f813a19e29fcecfe8054faf.java,,,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,1,0
alibaba/jetcache,CaffeineCacheTest_953f622a84427701884c8190b74e429a73f41962.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\CaffeineCacheTest_953f622a84427701884c8190b74e429a73f41962.java,,,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,1,0,0,1,0
alibaba/jetcache,LinkedHashMapCacheTest_953f622a84427701884c8190b74e429a73f41962.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\LinkedHashMapCacheTest_953f622a84427701884c8190b74e429a73f41962.java,,,,3,1,0,0,0,0,2,0,0,0,0,0,0,1,,,0,1,0,0,2,0
alibaba/metrics,TestAlibabaMetricsExports_2bf2e6cc27666b5f29936c93aadcb63cd0dfb8c7.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\TestAlibabaMetricsExports_2bf2e6cc27666b5f29936c93aadcb63cd0dfb8c7.java,,,,9,8,7,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0,8,0
alibaba/nacos,HealthCheckerFactoryTest_0a07c0e788b37fa0e8af17cb2ee4226e6fdc7346.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\HealthCheckerFactoryTest_0a07c0e788b37fa0e8af17cb2ee4226e6fdc7346.java,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4,0
alibaba/nacos,CollectionUtilsTest_2c5c85cccdf00a3862d8de083d015dcdb3cec37f.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\CollectionUtilsTest_2c5c85cccdf00a3862d8de083d015dcdb3cec37f.java,,,,41,15,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,40,0
alibaba/nacos,JacksonUtilsTest_83855da7340e6d472f9ba0e7fc0e2bb2d7cbf55e.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\JacksonUtilsTest_83855da7340e6d472f9ba0e7fc0e2bb2d7cbf55e.java,,,,27,14,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,27,0
alibaba/Sentinel,SentinelConfigTest_7920243deca3d86451061a652b77608134c429a0.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SentinelConfigTest_7920243deca3d86451061a652b77608134c429a0.java,,,,6,5,1,0,0,0,1,0,1,0,0,0,0,0,,,1,0,0,1,5,0
alibaba/Sentinel,TracerTest_7920243deca3d86451061a652b77608134c429a0.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\TracerTest_7920243deca3d86451061a652b77608134c429a0.java,,,,11,3,1,0,0,0,1,0,0,0,0,0,0,0,,,0,2,0,0,9,0
alibaba/testable-mock,OmniAccessorTest_80b0f3b8789921d46103d9af14a52e75406b92af.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\OmniAccessorTest_80b0f3b8789921d46103d9af14a52e75406b92af.java,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
alien4cloud/alien4cloud,LdapAuthenticationProviderTest_c14020ae6c7250a680494bd2463fa5a7d840822c.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\LdapAuthenticationProviderTest_c14020ae6c7250a680494bd2463fa5a7d840822c.java,,,,3,0,1,0,0,0,1,0,0,0,0,0,0,0,,,0,2,0,0,3,0
apache/archiva,BasicManagedRepositoryValidatorTest_c057c3ef1deb0d299bd1ed2141ac9e4c49eb0619.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\BasicManagedRepositoryValidatorTest_c057c3ef1deb0d299bd1ed2141ac9e4c49eb0619.java,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
apache/avro,TestReflect_7fd098a56064ece218c66ba1d2ad78bd358f6009.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\TestReflect_7fd098a56064ece218c66ba1d2ad78bd358f6009.java,,,,84,9,1,0,0,0,43,0,0,0,0,2,0,0,,,0,25,2,0,73,0
apache/bookkeeper,AuditorReplicasCheckTest_a9d40822afd48e5e84988e0a41b6140923fb304d.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\AuditorReplicasCheckTest_a9d40822afd48e5e84988e0a41b6140923fb304d.java,,,,14,0,2,0,0,0,5,5,0,0,0,0,0,0,,,0,5,0,0,5,0
apache/bookkeeper,SloggerTest_004dfa86bf9dad829088472f7df838ebd63c63af.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SloggerTest_004dfa86bf9dad829088472f7df838ebd63c63af.java,,,,8,6,0,0,0,2,8,0,0,1,0,0,0,0,,,0,2,0,0,8,0
apache/camel,GsonFieldNamePolicyTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\GsonFieldNamePolicyTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/camel,GsonMarshalExclusionTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\GsonMarshalExclusionTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,,,,3,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/camel,SpringGsonFieldNamePolicyTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SpringGsonFieldNamePolicyTest_5c1f9e8214b16331e44a5d4142aed1d1b69008a4.java,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/camel-spring-boot,GsonFieldNamePolicyTest_a0c6a4e8e692d898c140b5d120313e53497fa608.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\GsonFieldNamePolicyTest_a0c6a4e8e692d898c140b5d120313e53497fa608.java,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/camel-spring-boot,GsonMarshalExclusionTest_a0c6a4e8e692d898c140b5d120313e53497fa608.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\GsonMarshalExclusionTest_a0c6a4e8e692d898c140b5d120313e53497fa608.java,,,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/camel-spring-boot,SpringGsonFieldNamePolicyTest_a0c6a4e8e692d898c140b5d120313e53497fa608.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SpringGsonFieldNamePolicyTest_a0c6a4e8e692d898c140b5d120313e53497fa608.java,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/cloudstack,NeutronNetworkAdapterTest_adec8110521b0f93458d411dc689c91fd5a59004.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\NeutronNetworkAdapterTest_adec8110521b0f93458d411dc689c91fd5a59004.java,,,,2,2,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/cloudstack,NeutronNodeAdapterTest_adec8110521b0f93458d411dc689c91fd5a59004.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\NeutronNodeAdapterTest_adec8110521b0f93458d411dc689c91fd5a59004.java,,,,3,2,0,0,0,0,3,0,0,0,0,1,0,0,,,0,0,0,0,3,0
apache/cloudstack,NeutronPortAdapterTest_adec8110521b0f93458d411dc689c91fd5a59004.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\NeutronPortAdapterTest_adec8110521b0f93458d411dc689c91fd5a59004.java,,,,2,2,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/cloudstack,SMTPMailSenderTest_4c5a2ba3a6eb6399390c2f8963cb26e0e35fc058.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SMTPMailSenderTest_4c5a2ba3a6eb6399390c2f8963cb26e0e35fc058.java,,,,46,14,0,0,0,0,8,3,0,0,0,3,0,0,,,0,3,0,0,42,0
apache/cloudstack,ReflectionToStringBuilderUtilsTest_4c5a2ba3a6eb6399390c2f8963cb26e0e35fc058.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\ReflectionToStringBuilderUtilsTest_4c5a2ba3a6eb6399390c2f8963cb26e0e35fc058.java,,,,26,3,1,0,0,0,7,25,0,0,0,0,0,0,,,0,0,0,0,25,0
apache/cloudstack,ResetVMUserDataCmdTest_ed1ac1c16106914008c12264264a1255019bc974.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\ResetVMUserDataCmdTest_ed1ac1c16106914008c12264264a1255019bc974.java,,,,4,2,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,0,0,3,0
apache/commons-collections,CollectionBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\CollectionBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,6,2,2,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/commons-collections,HashBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\HashBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
apache/commons-collections,PredicatedBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\PredicatedBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,9,3,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0
apache/commons-collections,TransformedBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\TransformedBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,5,2,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/commons-collections,UnmodifiableBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\UnmodifiableBagTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,10,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/commons-collections,DualHashBidiMapTest_9582007123799dab2f1ddb38aa8654c26867da3f.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\DualHashBidiMapTest_9582007123799dab2f1ddb38aa8654c26867da3f.java,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
apache/commons-collections,CollectionUtilsTest_d4a5f9f5f56d104bf1642a37f731663e8ed0f58e.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\CollectionUtilsTest_d4a5f9f5f56d104bf1642a37f731663e8ed0f58e.java,,,,163,73,1,0,0,0,10,160,0,0,0,2,0,0,,,25,0,0,0,160,0
apache/commons-collections,PassiveExpiringMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\PassiveExpiringMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,19,6,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,0,13,0
apache/commons-collections,ArrayListValuedHashMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\ArrayListValuedHashMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,13,11,1,0,0,0,0,0,0,0,0,4,0,0,,,4,0,0,0,11,0
apache/commons-collections,HashSetValuedHashMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\HashSetValuedHashMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,11,7,1,0,0,0,0,0,0,0,0,2,0,0,,,1,0,0,0,7,0
apache/commons-collections,TransformedMultiValuedMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\TransformedMultiValuedMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4,0
apache/commons-collections,UnmodifiableMultiValuedMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\UnmodifiableMultiValuedMapTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,20,8,0,0,0,0,0,0,0,0,0,1,0,0,,,1,0,0,0,14,0
apache/commons-collections,HashMultiSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\HashMultiSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
apache/commons-collections,PredicatedMultiSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\PredicatedMultiSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,9,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0
apache/commons-collections,SynchronizedMultiSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\SynchronizedMultiSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
apache/commons-collections,UnmodifiableMultiSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\UnmodifiableMultiSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,14,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,6,0
apache/commons-collections,CompositeSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\CompositeSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,12,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,8,0
apache/commons-collections,PredicatedSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\PredicatedSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,3,0
apache/commons-collections,TransformedSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\TransformedSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,7,2,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
apache/commons-collections,UnmodifiableSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,C:\Users\thali\Desktop\test-smells-and-flaky-test\output\flakiness\UnmodifiableSetTest_917cdf1bf8ff40392099ce80272a0ac02064c629.java,,,,8,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
